,comment_text,suspected_fallacy
0,"According to the university brochure, the majors with the most students are Economics and Computer Science. Therefore, you should declare one of these majors if you want to have a successful career.",bandwagon fallacy
1,Everyone is going to get the new smart phone when it comes out this weekend. Why aren’t you?,bandwagon fallacy
2,Believing that taco bell is healthy for you because everyone else does.,bandwagon fallacy
3,Going to prom (when you don't want to) because 90 percent of your classmates are going,bandwagon fallacy
4,I guess that I should by my 12 year old an iPhone since everyone else has one.,bandwagon fallacy
5,Fortnite is the best game ever. Everyone is playing it!,bandwagon fallacy
6,Royal's promoting their team for the next season by telling people to come join the team because everyone else has.,bandwagon fallacy
7,Marie notices that many of her friends have started eating a low-carb diet and drinking protein shakes. Marie decides that if this many friends are eating this way that this must be the healthy way to eat so she joins them. This is an example of which logical fallacy?,bandwagon fallacy
8,"This is how most schools evaluate their students, so it must be effective.",bandwagon fallacy
9,Justifies a claim because a large group favors it,bandwagon fallacy
10,"I am voting for Pepitone for President because the rest of my family is voting for her, and I don't want to be the only one not doing so.",bandwagon fallacy
11,"Cathy is opposed to social media because she would rather have a face-to-face conversation. However, more and more of Cathy's friends have joined social media sites, so Cathy feels like she needs to create an account as well.",bandwagon fallacy
12,"Marcus wants to go to a small community college close to home, but most of the kids in his class are applying to larger colleges out of state. Marcus decides that he should also apply to those colleges.",bandwagon fallacy
13,Appealing to popularity or the fact that many people do something as an attempted form of validation.,bandwagon fallacy
14,America has to act now to reduce illegal immigration. Recent studies show that the vast majority of Americans think that illegal immigration is a problem.,bandwagon fallacy
15,"In the court trial deliberations, Juror Seven says, ""There are still eleven of us who think he's guilty. You're alone."" His attempt to use numbers to persuade Eight is:",bandwagon fallacy
16,"In Act 1, Juror Seven says, ""There are still eleven of us who think he's guilty. You're alone."" His attempt to use numbers to persuade Eight is:",bandwagon fallacy
17,"If everyone believes it, you should too!",bandwagon fallacy
18,Everyone is doing the Low-Carb Diet.,bandwagon fallacy
19,This happens when you assume that something is acceptable just because it is very common.,bandwagon fallacy
20,"This is an emotional appeal that speaks the concept that many people agree or disagree, so you should, too",bandwagon fallacy
21,"An influencer posts on Instagram that the restaurant ""EP is poppin'! Everyone worth knowing is here tonight - come on down!"" -- this is an example of:",bandwagon fallacy
22,"""I'm gonna get an iPhone because everybody else has an iPhone and they're cool.""",bandwagon fallacy
23,"""Chick fil A is the greatest food chain in existence. Look at the crowds!""",bandwagon fallacy
24,40 million people can't be wrong! Buy the new Iphone XIV today!,bandwagon fallacy
25,"Makes people feel as though everyone is doing it, so they should too.",bandwagon fallacy
26,"the phrase ""Ninety percent of all people surveyed said that McDonalds is better than Burger King so it must be true."" represents which fallacy?",bandwagon fallacy
27,"If you had school pride like the rest of us do, you would wear a mountain lion costume every day.",bandwagon fallacy
28,Doing something because everyone else is doing it,bandwagon fallacy
29,Everyone is buying the new iPhone that’s coming out this weekend. You have to buy it too,bandwagon fallacy
30,A commercial shows a group of friends all hanging out wearing clothes from a popular clothing company. This is an example of,bandwagon fallacy
31,"I am voting for Smith for President. My whole family is Democrat, so I'll be voting that way, too.",bandwagon fallacy
32,"The phrase ""Ninety percent of all people surveyed said that McDonalds is better than Burger King, so we can confidently say we are the best."" represents which fallacy?",bandwagon fallacy
33,"Officer, I was only driving as fast as everyone around me. You can't give me a ticket for doing what every other driver on the road was also doing.",bandwagon fallacy
34,You appealed to popularity or the fact that many people do something as an attempted form of validation.,bandwagon fallacy
35,", or a group of people think, in order to persuade one to think the same way.",bandwagon fallacy
36,"A fallacy which assumes that because something is popular, it is therefore good, correct, or desirable.",bandwagon fallacy
37,"McDonald’s has served 100 billion people in the world. It must be the best fast food restaurant in the world"" is an example of",bandwagon fallacy
38,"""Since 88% of people polled believe in UFOs, they must exist.",bandwagon fallacy
39,"""Everybody is late coming back from lunch, so it shouldn't matter if I'm late.""",bandwagon fallacy
40,Everyone wants the iPhone 11 because it's the best phone on the market!,bandwagon fallacy
41,God must exist because every culture has some sort of belief in a higher being.,bandwagon fallacy
42,"Matthew: Everyone believes that teachers get paid enough for the job they do. Therefore, it must be true.",bandwagon fallacy
43,"Television Advertisement: Rush to shop at Super-Mart this weekend, everyone is doing it!",bandwagon fallacy
44,Everyone being referred to as comrade.,bandwagon fallacy
45,Old Major's speech claiming that ALL the animals will unite and revolt against the humans,bandwagon fallacy
46,"""Four legs good, two legs bad""",bandwagon fallacy
47,"taps into people's desire to belong to a group. ""Everyone else is doing it!""",bandwagon fallacy
48,", that it must be true",bandwagon fallacy
49,"Argues that because something is popular, it must be right.",bandwagon fallacy
50,This movie was #1 at the box office last weekend! That means it must be really good!,bandwagon fallacy
51,"He says `` contrary to what your political leader , professor , and newspaper tell you , global warming is dominated by natural factors .",bandwagon fallacy
52,"Image modelling shows that swaths of Osaka, the commercial heart of a region whose GDP is almost as big as that of the Netherlands’ would disappear beneath the water in a 3C world , threatening the local economy and almost a third of the wider region’s 19 million residents .",bandwagon fallacy
53,"As a result of global sea-level rise , storm surges and other factors , economists project that coastal flooding could put almost $ 1tn of Osaka’s assets at risk by the 2070s , according to the Union of Concerned Scientists .",bandwagon fallacy
54,"A rapid disintegration of Antarctica might , in the worst case , cause the sea to rise so fast that tens of millions of coastal refugees would have to flee inland , potentially straining societies to the breaking point .",bandwagon fallacy
55,"Recent computer forecasts suggest that if greenhouse gas emissions continue at a high level , parts of Antarctica could break up rapidly , causing the ocean to rise six feet or more by the end of this century . That is double the maximum increase that an international climate panel projected only four years ago .",bandwagon fallacy
56,"18 years after 1998 , global warming still has not created the runaway warming we were told to expect .",bandwagon fallacy
57,The latest study from the United Nations Intergovernmental Panel on Climate Change found that in the previous 15 years temperatures had risen 0.09 degrees Fahrenheit . The average of all models expected 0.8 degrees . So we’re seeing about 90 % less temperature rise than expected .,bandwagon fallacy
58,"If we adjust for population and wealth , hurricane damage during the period 1900-2013 decreased slightly .",bandwagon fallacy
59,"This is recognised by the major carbon dioxide emitters such as China , India and the US , which don’t comply . No EU state has met its target .",bandwagon fallacy
60,"The amount of energy necessary for humans to do everything we do is simply too large . As that demand for energy grows , the amount of renewable energy also has to grow , just to maintain only a 15-20 % fraction of the total .",bandwagon fallacy
61,But the observed warming as monitored by satellites ( our only truly global monitoring system ) has been only about half of what computerized climate models say should be happening .,bandwagon fallacy
62,"It has now , even after Hurricane Matthew , been over 4,000 days since a major hurricane ( Category 3 or stronger ) has made landfall in the U.S . Sea level rise , which was occurring long before humans could be blamed , has not accelerated and still amounts to only 1 inch every ten years .",bandwagon fallacy
63,"Sea level rise , which was occurring long before humans could be blamed , has not accelerated and still amounts to only 1 inch every ten years .",bandwagon fallacy
64,"As the world develops , it has become much less vulnerable : a hurricane hitting Florida kills few people while a similar event in Guatemala kills tens of thousands .",bandwagon fallacy
65,"A recent Nature study expecting more severe hurricanes from global warming still found that damages would halve from 0.04 per cent to 0.02 per cent of global GDP , because the increased ferocity would be more than made up by increased prosperity and resilience .",bandwagon fallacy
66,"Over time , climate becomes a net problem : by the 2070s , the UN Climate Panel finds that global warming will likely cause damage equivalent to 0.2 per cent to 2 per cent of global GDP . This is certainly not a trivial cost , but nor is it the end of the world . It is perhaps half the social cost of alcohol today .",bandwagon fallacy
67,The Paris climate treaty will cost around 2 per cent of global GDP and fix much less than a tenth of the problem .,bandwagon fallacy
68,Electric cars provide perhaps a thousandth in climate benefit of their substantial public subsidies .,bandwagon fallacy
69,Less effective but more ambitious climate policies cost at least 6 per cent of global GDP per year and likely much more .,bandwagon fallacy
70,Many other major news outlets did not even report on the study .,bandwagon fallacy
72,"NOAA’s alteration of its measurement standard and other changes produced a result that could have been predicted : a marginally significant warming trend in the data over the past several years , erasing the temperature plateau that vexed climate alarmists have found difficult to explain .",bandwagon fallacy
73,"CO2 is certainly a heat-trapping greenhouse gas , but hardly the primary one : Water vapor accounts for about 95 percent of greenhouse gases . By contrast , carbon dioxide is only a trace component in the atmosphere : about 400 ppm ( parts per million ) , or 0.04 percent .",bandwagon fallacy
74,"It is affected by innumerable interacting variables , atmospheric CO2 levels being just one . The more variables there are in any system or train of events , the lower the probability of all of them coming to pass .",bandwagon fallacy
75,"A comprehensive list would run to hundreds , if not thousands , of elements , none of which scientists would claim to understand with absolute precision .",bandwagon fallacy
76,"It happened in four years between 1980-2010 , but has now occurred in four out of the last five winters .",bandwagon fallacy
77,"The figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed . A survey which claimed to have questioned 10,257 academics , was found to have winnowed down the sample to just 77 . A poll of 1854 members of the American Meteorological Society found the number who believe climate change to be man-made to be 52 per cent .",bandwagon fallacy
78,"The highest record temperature ever reported was 136 degrees Fahrenheit in Libya in 1922 . The record high temperature for the United States was 134 degrees Fahrenheit in Death Valley , California in 1913 . Fossil fuel emissions in 1913 and 1922 were negligible compared to today .",bandwagon fallacy
79,"The coldest temperature ever reported was minus 129 degrees Fahrenheit in Vostok , Antarctica , in 1983 when Carbon dioxide emissions were five times higher than in 1913 . The coldest temperature in the lower 48 states ( excluding Alaska ) of minus 64 degrees Fahrenheit was recorded in 1996 in Embarrass , Minnesota .",bandwagon fallacy
80,Water is 12 times more effective than carbon dioxide with respect to all incoming and outgoing radiation .,bandwagon fallacy
81,"Without human intervention , the concentration of CO2 has climbed as high as 7,000 parts per million ( ppm ) in prior eras , whereas at present the concentration is just over 400 ppm .",bandwagon fallacy
82,"My peer-reviewed research , published last November in the journal Global Policy , shows that even if every nation were to fulfill all their carbon-cutting promises by 2030 and stick to them all the way through the century at a cost of more than $ 100 trillion in lost GDP‚global temperature rise would be reduced by a tiny 0.3¬∞F ( 0.17¬∞C ) .",bandwagon fallacy
83,"In the past 30 years of records , no storms west of Florida have intensified in the last 12 hours before landfall .",bandwagon fallacy
84,"NOAA claims an uncertainty of 14 one-hundredths of a degree in its temperature averages , or near twice the amount by which they say the record was set .",bandwagon fallacy
85,"When you look at the historical record , there’s no trend saying the flooding is going down, said Dr. Sweet  the NOAA expert. The trends are all very clear . They’re going up , and they’re going up in many of these areas in an accelerating fashion.",bandwagon fallacy
86,"Roughly 100 massive fires are blazing Saturday in the West , including 12 in Idaho and nine in Montana , the National Interagency Fire Center said Saturday . All told , the wildfires have churned through more than 4.5 million acres in 12 states . ( RELATED : Wildfires , Blackouts And High Gas Prices : Californians Fight Familiar Foes Amid Pandemic )",bandwagon fallacy
87,"Not only do polls suggest the public is unmoved at home and in abroad , serial exaggeration at this point is arguably backfiring , confirming the perils of climate exaggeration .",bandwagon fallacy
88,"Over the past decades , our culture has gone apocalyptic with zombie movies and Mad Max dystopias , perhaps the collective result of displaced climate anxiety , and yet when it comes to contemplating real-world warming dangers , we suffer from an incredible failure of imagination .",bandwagon fallacy
89,"In other words , we have , trapped in Arctic permafrost , twice as much carbon as is currently wrecking the atmosphere of the planet , all of it scheduled to be released at a date that keeps getting moved up , partially in the form of a gas that multiplies its warming power 86 times over .",bandwagon fallacy
90,"The last time the planet was even four degrees warmer , Peter Brannen points out in The Ends of the World , his new history of the planet’s major extinction events , the oceans were hundreds of feet higher . * The Earth has experienced five mass extinctions before the one we are living through now , each so complete a slate-wiping of the evolutionary record it functioned as a resetting of the planetary clock , and many climate scientists will tell you they are the best analog for the ecological future we are diving headlong into .",bandwagon fallacy
91,"At 11 or 12 degrees of warming , more than half the world’s population , as distributed today , would die of direct heat .",bandwagon fallacy
92,"The fraction of carbon dioxide is growing : It just crossed 400 parts per million , and high-end estimates extrapolating from current trends suggest it will hit 1,000 ppm by 2100 . At that concentration , compared to the air we breathe now , human cognitive ability declines by 21 percent .",bandwagon fallacy
93,"The Chinese airpocalypse of 2013 peaked at what would have been an Air Quality Index of over 800 . That year , smog was responsible for a third of all deaths in the country .",bandwagon fallacy
94,"Here are dozens of reputable scientists from around the world, with no axe to grind, collaborating on studies that all independently and rigorously corroborate the increasingly respectable view that man-made global warming just isn’t a thing.",bandwagon fallacy
95,Calculations suggest it would need 40 % to 50 % of the arable land of the planet to make it work on the scale we will need and that would not leave enough land to grow crops to feed the world or to provide homes for a viable population of wild animals and plants .,bandwagon fallacy
96,Most people expect this year will see a record low in the Arctic’s summer sea-ice cover .,bandwagon fallacy
97,"Today , there are quite a number of researchers who think carbon dioxide could last 1,000 years in the atmosphere .",bandwagon fallacy
98,"According to a report last year by Climate Change Business Journal , it’s now worth an astonishing $ 1.5 trillion, about the same as the online shopping industry . If the scare goes away , then all bets are off , because the entire global decarbonisation business relies on it .",bandwagon fallacy
99,"The impact on calcification , metabolism , growth , fertility and survival of calcifying marine species when pH is lowered up to 0.3 units ( beyond what is considered a plausible reduction this century ) is beneficial , not damaging . Marine life has nothing whatsoever to fear from ocean acidification .",bandwagon fallacy
,"Last year , no fewer than 600 academic papers were published on the subject , so it must be serious , right ?",bandwagon fallacy
