,comment_text,suspected_fallacy
0,"""The two courses I took at UF were not very interesting. I don't think its a good university.""",hasty_generalization
1,"It is warmer this year in Las Vegas as compared to last year; therefore, global warming is rapidly accelerating.",hasty_generalization
2,A driver with a New York license plate cuts you off in traffic. You decide that all New York drivers are terrible drivers.,hasty_generalization
3,"""Four out of five dentists recommend Happy Glossy toothpaste. Therefore, it must be great.""",hasty_generalization
4,No one in your family surfs? But I thought you said you lived in California before this.,hasty_generalization
5,All women are bad drivers.,hasty_generalization
6,You visit a new country and the first person you meet in the airport is rude. You send a message to a friend back home that everyone in this new country is rude.,hasty_generalization
7,Kevin's grandparents do not know how to use a computer. Kevin thinks that all older people must be computer illiterate.,hasty_generalization
8,Saying that men don't ever ask for directions,hasty_generalization
9,"If you eat a good diet, you will never have a heart attack.",hasty_generalization
10,"""Annie must like Starbucks because all white girls like Starbucks.""",hasty_generalization
11,Everyone knows that teenagers are lazy,hasty_generalization
12,"MeowMeowTweet is American-made skincare. I used it, and it gave me zits. American-made skincare gives people acne.",hasty_generalization
13,"All teachers drink coffee and teachers are people; therefore, all people drink coffee.",hasty_generalization
14,All four year olds talk too much.,hasty_generalization
15,I met a tall man who loved to eat cheese. Now I believe that all tall people like cheese.,hasty_generalization
16,"I know three redheads who have terrible tempers, and since Annabel has red hair, I’ll bet she has a terrible temper too.",hasty_generalization
17,We think this new MallTime game app will be a success because all girls like shopping.,hasty_generalization
18,People from big cities are not as friendly as those from small towns.,hasty_generalization
19,My brother Humza eats cheeseburgers and pizza. He is thin. Cheeseburgers and pizza aren’t the cause of obesity.,hasty_generalization
20,"“My roommate Fatima said her philosophy class was hard, and the one I’m in is hard, too. All philosophy classes must be hard!” Insisted Baneen.",hasty_generalization
21,"I was just on the phone with a Southerner, and I could barely keep up! All Southerners talk fast.",hasty_generalization
22,I have several female friends and every one of them loves country music. All females love country music.,hasty_generalization
23,"That type of car is poorly made; a friend of mine has one, and it continually gives him trouble.",hasty_generalization
24,Everyone loves Post Malone and can name at least one of his songs! (This is an example of...),hasty_generalization
25,"""That new home looks great! Let's buy it!""",hasty_generalization
26,"Jeff is preparing to create a commercial for a new energy drink. He visits a local high school and surveys students in an English class about their beverage preferences. The majority of the class says they prefer grape flavored drinks, so Jeff tells his superiors that grape is the flavor favored most by high school students. What error in reasoning has Jeff made?http://www.funtrivia.com",hasty_generalization
27,We think this new MallTime game app will be a success because all little girls like shopping.,hasty_generalization
28,"I saw a student texting in my class yesterday; all my students must be texting, so cell phones should be banned.",hasty_generalization
29,“The two courses I took at Harvard were not very interesting. I don't think it is a good university.”,hasty_generalization
30,"“Birds can fly; therefore, penguins can fly.”",hasty_generalization
31,I can't understand why people are complaining that it's difficult to find a job in this job market. My daughter and I got jobs without any trouble.,hasty_generalization
32,"On my walk to work this morning, a woman on her bike nearly ran me off the sidewalk. I hadn't realized that cyclists were so aggressive and rude!",hasty_generalization
33,"Even without watching the movie, I just know that it would not be as good as the book.",hasty_generalization
34,"“Pain-Away worked for me, so it’s sure to work for you, too.”",hasty_generalization
35,"The government is convinced that it was a bomb that brought down the aircraft. “Our countrymen believe it was a bomb,” said the president. “A survey done a few days after the crash indicates that almost seventy percent of the people believe it was a terrorist’s bomb.”",hasty_generalization
36,All of those who hate the Duterte administration are CPP-NPA supporters.,hasty_generalization
37,"Mrs. Miller taught your older brother, who was the class clown. She decides to be strict with you from the very first day of class because she thinks you will be a clown, too.",hasty_generalization
38,"JOHN F. KENNEDY: I'm not satisfied when the United States had last year the lowest rate of economic growth of any major industrialized society in the world… (from opening statement)
RICHARD NIXON: We heard tonight, for example, the statement made that our growth in national product last year was the lowest of any industrial nation in the world. Now last year, of course, was 1958. That happened to be a recession year. But when we look at the growth of G.N.P. this year, a year of recovery, we find that it's six and nine-tenths per cent and one of the highest in the world today… (from opening statement)
September 26, 1960
Chicago, Illinois

What logical fallacy does Kennedy use?",hasty_generalization
39,"""You shouldn't go to 'Vomito' I went once and the food was awful."" is",hasty_generalization
40,"""Avoid Latam Airlines. Their planes are always late"" is what kind of fallacy?",hasty_generalization
41,"Two of my best friends are really introverted, shy people, and they both have cats. That leads to me believe that most cat lovers are really shy.",hasty_generalization
42,"I've only read a couple pages of this book, and I've already found a typo. There's no way I'm reading the rest of this garbage.",hasty_generalization
43,Christine has a terrible experience with a boyfriend. She decides that all boys are mean.,hasty_generalization
44,We think that Malltime will be a success because all little girls like shopping.,hasty_generalization
45,"My roommate from Maine loves lobsters, therefore all people from Maine love lobsters.",hasty_generalization
46,"The spider that bit was poison, therefore all spiders are poison.",hasty_generalization
47,The child did not do his chores so therefore all children are lazy.,hasty_generalization
48,The teenagers where rude and disrespectful therefore all teenagers are rude and disrespectful.,hasty_generalization
49,This guy in my class with glasses always talks in class so all guys with glasses are talkative.,hasty_generalization
50,I met a rude person from France yesterday. I guess all French people are rude.,hasty_generalization
51,"At 3.6 degrees of warming , the report predicts a “ disproportionately rapid evacuation ” of people from the tropics . “ In some parts of the world , national borders will become irrelevant , ” said Aromar Revi , director of the Indian Institute for Human Settlements and an author of the report . “ You can set up a wall to try to contain 10,000 and 20,000 and one million people , but not 10 million . ”",hasty_generalization
52,“ Welcome to climate chaos .,hasty_generalization
53,"Scribbler and Beckwith said the anomalies were most likely precipitated by man-made climate change , which caused the jet stream to slow down and create larger waves .",hasty_generalization
54,"`` When I tell people what to expect , I say , 'Well , imagine the opening scene of The Sound of Music was filmed outside of Reno , Nevada , ' `` he says . ``",hasty_generalization
55,"A domino-like cascade of melting ice , warming seas , shifting currents and dying forests could tilt the Earth into a “ hothouse ” state beyond which human efforts to reduce emissions will be increasingly futile , a group of leading climate scientists has warned .",hasty_generalization
56,"With a record El Nino , we should have experienced record high temperatures . Yet we didn ’ t .",hasty_generalization
57,"Global warming activists do not extend “ the record ” back any further , they say , because it has only been since the late 1800s that we have had a global network of mercury thermometers .",hasty_generalization
58,"Instead , and remarkably , government overseers adjust the data to add more recent warming than is being reported in the raw temperature readings .",hasty_generalization
59,"If that ’ s not enough , it has the distinction of being the largest living structure on the planet .",hasty_generalization
60,"Unfortunately , because of back to back mass bleaching events , scientists are telling us that the massive , impressive Australian Great Barrier Reef is now at a ‘ terminal stage ’ —with large portions having no hope of recovery .",hasty_generalization
61,"Not only would this have devastating direct effects , it leaves societies less able to cope with future crises like new pandemics .",hasty_generalization
62,"Even in our own lifetimes , there is no relationship between temperature and carbon dioxide emissions by ­humans , yet there is a very close relationship between solar activity and temperature .",hasty_generalization
63,"If the atmosphere comprised 85,000 molecules , the total carbon dioxide emissions added annually would be 33 molecules , of which only one molecule would be from human emissions and the other 32 from natural emissions .",hasty_generalization
64,We are expected to believe that emission of traces of a trace gas into the atmosphere is a major planetary driving force .,hasty_generalization
65,"Do we really believe that one bellowing fan in a crowd of 85,000 at the MCG can completely change the course of a game ?",hasty_generalization
66,"As soon as the word emissions entered the language and became part of a religious ideology , electricity prices skyrocketed , electricity supply became more unreliable , subsidies for wind and solar energy went through the roof and employers and consumers had massive cost increases .",hasty_generalization
67,"Trump ’ s other nominees , such as State Department nominee Rex Tillerson and Interior Department nominee Ryan Zinke , have been less dismissive of climate change in their confirmation hearings , acknowledging at least some human contribution to the phenomenon but also raising questions either about the extent to which it is human-caused or about our capacity to predict the consequences .",hasty_generalization
68,"So , until people actually experience climate change , and new energy technologies are developed , any claims by politicians that we are in a “ climate crisis ” will fall on deaf ears .",hasty_generalization
69,"Sea levels are projected to rise by more than 3 feet by the end of the century , wiping away beaches and coastal properties .",hasty_generalization
70,"The study also found that the ice sheet is retreating in rapid bursts , leading to a sudden and unpredictable rise in sea levels , making it difficult to prepare for the effects .",hasty_generalization
72,Only mentioning the negatives distorts and degrades the political conversation .,hasty_generalization
73,Adding more CO2 molecules to the atmosphere is like painting over a red wall with white paint — the first coat does most of the work of concealing the red .,hasty_generalization
74,"Your odds of correctly guessing the outcome of a flipped coin are 1 in 2 , but your odds of guessing correctly twice in a row are only 1 in 4 — i.e. , ½ x ½ Extending your winning streak to a third guess is even less probable : just 1 in 8 . Apply that approach to climate change , and it becomes clear why the best response to the alarmists ’ frantic predictions is a healthy skepticism .",hasty_generalization
75,"But for the sake of argument , say there are merely 15 variables involved in predicting global climate change , and assume that climatologists have mastered each one to a near-perfect accuracy of 95 percent . What are the odds that a climate model built on a system that simple would be reliable ? Less than 50/50 . ( Multiplying .95 by itself 15 times yields 46.3 percent . )",hasty_generalization
